Code,Name,NameLong,Lat,Long,Cbseg,WaterBody,Description,Datum,CityCounty,Tidal,Comments,Fips,Huc12,State,Huc6Name
TUCCC.LOVERU001,LOVERU001,Love Run,41.36619,-77.35632,,Little Pine Creek-Pine Creek,Love Run,NAD83,Lycoming County,FALSE,,42081,020502050506,Pennsylvania,
TUCCC.LPBORU001,LPBORU001,Lower Pine Bottom Run,41.30378,-77.39496,,Upper Pine Bottom Run-Pine Creek,Lower Pine Bottom Run,NAD83,Lycoming County,FALSE,,42081,020502050606,Pennsylvania,
CCWA.LR00.1,LR00.1,Loudon's Run 00.1,40.227646,-77.20661,,Wertz Run-Conodoguinet Creek,Loudon's Run 00.1,NAD83,Cumberland County,FALSE,,42041,020503050403,Pennsylvania,Lower Susquehanna
LCCD.LR3,LR3,Lititz Run - LR3,40.133611,-76.258056,,Lititz Run,Millport Conservancy,NAD83,Lancaster County,FALSE,relatively undisturbed,42071,020503061105,Pennsylvania,
LRA.LT1,LT1,LeTort Spring Run 6.51,40.17663,-77.18537,,Letort Spring Run,LeTort Site 1,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
LRA.LT10,LT10,LeTort Spring Run 0.04,40.23487,-77.14193,,Letort Spring Run,LeTort Site 10,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
LRA.LT2,LT2,UNT to LeTort Spring Run 0.01,40.17667,-77.18507,,Letort Spring Run,LeTort Site 2,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
LRA.LT3,LT3,LeTort Spring Run 6.24,40.17999,-77.18692,,Letort Spring Run,LeTort Site 3,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
LRA.LT4,LT4,LeTort Spring Run 5.56,40.18844,-77.18606,,Letort Spring Run,LeTort Site 4,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
LRA.LT5,LT5,LeTort Spring Run 5.05,40.19528,-77.18423,,Letort Spring Run,LeTort Site 5,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
LRA.LT6,LT6,LeTort Spring Run 4.05,40.20792,-77.18104,,Letort Spring Run,LeTort Site 6,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
LRA.LT7,LT7,LeTort Spring Run 3.05,40.21418,-77.16883,,Letort Spring Run,LeTort Site 7,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
LRA.LT8,LT8,LeTort Spring Run 2.34,40.21847,-77.16003,,Letort Spring Run,LeTort Site 8,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
LRA.LT9,LT9,LeTort Spring Run 1.53,40.22429,-77.14928,,Letort Spring Run,LeTort Site 9,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
CCWA.LTRT01.5,LTRT01.5,LeTort Spring Run 1.5,40.219418,-77.155726,,Letort Spring Run,LeTort Spring Run 1.5,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
CCWA.LTRT04.5,LTRT04.5,LeTort Spring Run 04.5,40.20152,-77.184854,,Letort Spring Run,LeTort Spring Run 04.5,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
CCWA.LTRT04.9,LTRT04.9,LeTort Spring Run 04.9,40.187955,-77.187194,,Letort Spring Run,LeTort Spring Run 04.9,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
TUCCC.LYMARU001,LYMARU001,Lyman Run,41.72096,-77.776242,,Lyman Run,Lyman Run,NAD83,Potter County,FALSE,,42105,020502050101,Pennsylvania,
BCWA.M1,M1,,40.939139,-77.229472,,Buffalo Creek-West Branch Susquehanna River,Upstream of remediation site,NAD83,Union County,FALSE,,42119,020502061005,Pennsylvania,
BCWA.M2,M2,,40.939722,-77.225944,,Buffalo Creek-West Branch Susquehanna River,downstream of remediation site,NAD83,Union County,FALSE,,42119,020502061005,Pennsylvania,
BCWA.M3,M3,,40.944472,-77.200889,,Buffalo Creek-West Branch Susquehanna River,Frederick trail,NAD83,Union County,FALSE,,42119,020502061005,Pennsylvania,
